Filename,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type
sample3,1.35,-3.56,4,6.33,1.61,2.58,Involved persuasion
sample2,2.03,-1.25,5.39,6.75,1.5,0.7,Involved persuasion
sample9,-15.89,-0.62,8.45,6.45,13.12,0.12,Scientific exposition
sample1,6.02,-3.38,6.74,7.77,5.14,3.4,Involved persuasion
sample8,-15.89,-0.62,8.45,6.45,13.12,0.12,Scientific exposition
sample5,-8.58,-4.89,14.1,2.62,6.58,-1.28,Scientific exposition
sample10,-10.83,-3.55,10.54,2.41,9.32,1.43,Scientific exposition
sample7,-8.43,2.22,7.27,-2.28,3.97,-1.45,General narrative exposition
smaple4,-11.2,-2.45,9.47,-1.23,4.04,-0.4,Scientific exposition
sample6,-11.96,-4.27,8.63,9.14,7.67,0.91,Scientific exposition
Human,-7.34,-2.24,8.30,4.44,6.61,0.61,Scientific exposition
