Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
sample3,641,4.98,233,0.62,1.25,1.87,0.16,0.62,0,0.16,0.31,0,1.87,0.78,0,0,0.31,0,0.78,0.47,0,0,4.68,0.78,16.69,8.11,0,2.03,0,0.31,0,11.08,0.47,1.56,0.47,0.47,0.78,0.16,2.81,0.47,0,0.62,3.28,0,0,0.31,0.16,0,0,0.31,0,0,0.16,0.47,0,4.37,0.47,2.34,1.09,0.31,7.18,0,0,0,0,0.16,0,1.25,
sample2,945,4.51,253,0.63,0.74,2.65,0.11,0.11,0.21,0.32,0.63,0.11,0.85,1.06,0.11,0.11,1.16,0.21,1.59,0.32,0,0.11,6.67,0.11,18.84,2.33,0,0.74,0,0.42,0.85,10.37,0.11,1.38,0.21,0.74,1.48,0.21,1.59,0.95,0.21,0.74,3.70,0.11,0.32,0.32,0,1.59,0,0.85,0.11,0,0.11,0.63,0.32,4.34,0.32,2.86,0.21,2.33,5.29,0,0,0,0.53,0.11,0,1.06,
sample9,591,5.45,266,0.34,1.18,1.69,0,0,0,0.17,1.86,0,1.52,0.51,0,0,0.17,0,1.69,0.51,0,0,11.00,0.51,23.35,3.38,0.51,0.51,0,0.68,1.52,9.98,0.17,0.17,0.17,0.68,1.02,0,1.02,1.18,0,1.35,3.05,0.17,0.17,0.68,0.17,0,0,0.85,0.34,0,0.17,0,0.51,2.37,0.34,1.02,0.17,1.18,4.40,0,0,0,0.51,0,0.17,0.17,
sample1,809,4.82,228,0.74,0.62,2.72,0.12,0,0,0.37,1.24,0,2.72,0.49,0.37,0.37,1.61,0.25,1.11,0.62,0,0.12,7.05,0.37,16.81,4.08,0,0.87,0.12,0.25,0.74,7.66,0.12,1.48,0.37,2.10,1.98,0.25,0.99,1.24,0,0.99,4.33,0,0,0.87,0.12,0.25,0,0.37,0,0,0.25,0.12,0,3.34,0.62,0.37,0.49,0.12,6.06,0,0,0,0.62,0,0.25,1.36,
sample8,591,5.45,266,0.34,1.18,1.69,0,0,0,0.17,1.86,0,1.52,0.51,0,0,0.17,0,1.69,0.51,0,0,11.00,0.51,23.35,3.38,0.51,0.51,0,0.68,1.52,9.98,0.17,0.17,0.17,0.68,1.02,0,1.02,1.18,0,1.35,3.05,0.17,0.17,0.68,0.17,0,0,0.85,0.34,0,0.17,0,0.51,2.37,0.34,1.02,0.17,1.18,4.40,0,0,0,0.51,0,0.17,0.17,
sample5,429,5.54,241,0.23,2.80,0.70,0.23,0.23,0,0,0.47,0,0.93,0,0,0.47,0.23,0,2.33,0.70,0,0,7.46,0.23,26.81,4.43,0.47,1.17,0,0,2.80,10.49,0,0.70,0.23,1.40,0,0,2.33,0,0,0.47,4.90,0.23,0,0.47,0,0,0,1.86,0.23,0,0,0,0,1.63,0.23,0.23,0.47,0.23,6.06,0.23,0.23,0,0.23,0.47,0,0.23,
sample10,789,5.46,262,0.13,1.14,1.39,0,0,0,0,0.89,0,1.52,0.38,0,0.25,0.51,0,0.76,0,0,0,12.67,0.38,18.12,6.84,0.76,0.51,0,0.25,1.39,9.13,0.63,1.27,0,1.27,1.27,0.13,1.39,1.27,0.13,0.38,3.04,0.38,0.13,0.25,0,0,0,0.76,0.25,0,0.25,0.38,0.25,1.90,0.51,0.51,0.25,0.25,4.69,0,0.25,0,0,0,0,0.76,
sample7,572,5.15,250,0,1.22,1.92,0,0.17,0.17,0,1.05,0,0.35,0.52,0,0.35,1.57,0.17,1.40,1.40,0,0,9.97,0,27.10,3.67,0,0.52,0,0,1.92,9.97,0,0.70,0.52,0.87,1.05,0.35,0.70,0.35,0,2.27,3.50,0,0,0.35,0,0,0.17,0.70,0.52,0,0.70,0.35,0.17,1.40,0.17,0.17,0,0,5.07,0,0,0,0,0.17,0.17,0.70,
smaple4,532,5.48,266,0.19,0.38,1.32,0.19,0,0,0.19,1.13,0,0.75,0.75,0,0.19,0.38,0,1.69,0.75,0,0,11.47,0.19,21.80,3.76,0,0.19,0,0,1.69,12.59,0.38,0.94,0.19,1.88,0.38,0,3.38,0,0,0.56,3.76,0,0,0.19,0,0,0.19,0.56,0.56,0,0,0.38,0.19,2.07,0.38,0.75,0,0.19,6.02,0.38,0.38,0,0,0.19,0,0,
sample6,664,5.33,255,0.15,1.05,1.66,0.15,0.15,0.15,0,1.20,0,1.20,0.30,0,0.15,0.30,0,0.75,0.15,0,0,10.39,0.45,22.89,3.77,0.30,0.90,0,0,1.20,10.39,0.30,0.90,0.60,1.51,0.75,0,1.36,2.56,0,0.30,3.31,0.15,0.30,0.45,0,0,0,1.51,0.30,0,0,0.45,0.15,1.96,0,1.20,0.75,0.45,4.22,0,0.30,0,0.45,0,0.30,0.60,
