Filename,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type
7-opt,0.369999999999999,-6.49,3.41,13.38,0.64,1.26,Involved persuasion
2-opt,-5.23,-5.85,14.22,13.04,-3.02,9.66,Involved persuasion
8-opt,4.01,-5.69,11.9,22.28,-1.24,2.22,Involved persuasion
1-opt,-6.66,-6.34,10.47,19.86,3.15,1.05,Involved persuasion
4-opt,-3.5,-4.96,13.03,-8.45,-2.82,-3.07,General narrative exposition
3-opt,20.63,-1.65,12.68,18.16,-2.86,4.61,Involved persuasion
6-opt,-3.5,-4.95,2.71,8.8,-3.27,-3.5,Involved persuasion
5-opt,-5.17,-2.39,4.34,9.72,13.64,-3.04,Scientific exposition
0-opt,9.66,-3.7,6.72,20.58,5.33,3.47,Involved persuasion
9-opt,-5.4,-7.38,9.87,28.46,-1.31,-2.19,Involved persuasion
OPT-1.3b-iml,0.52,-4.94,8.94,14.58,0.82,1.05,Involved persuasion
