Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
7-opt,551,4.89,76,0,0,4.90,0,0,0,2.18,0.73,0,2.00,0.54,0,0,0.18,0,3.99,0,0,0,10.16,0.18,15.79,5.26,0,0,0,0,0,10.89,0,5.44,0,0.54,3.27,0,1.81,1.45,0,0,3.27,0,0,0,0.18,0,0,0,0,0,1.45,0,0,4.72,0,2.00,0,0,8.35,0,0,0,0,0,0.54,0.18,
2-opt,496,5.35,107,0,0.20,2.22,0,0,0,0.40,0,0,2.02,0.40,0,0.20,1.21,0,2.82,0.40,0,0,4.64,2.02,14.52,10.89,0,0.60,0,0,1.61,12.90,0.81,0.81,0,0.81,1.01,0,3.43,2.02,0.40,0,1.61,0,0,0.40,0,0,0,0.60,0,0,0.40,2.42,0,1.41,0.20,3.43,1.01,0,7.06,0,0,0,0,0,0,0,
8-opt,509,4.78,138,0.20,0.59,1.38,0.39,0.20,0,0.79,0,0.20,0.98,0.39,0,0,1.96,0.20,8.25,0,0,0,8.64,2.75,10.41,10.02,0,1.77,0,0,1.38,7.47,0,1.38,0,0.98,1.18,0,1.38,2.16,0,0.39,1.18,0,0,0.39,0,0,0,0.79,0,0.20,0.20,0.98,0.39,3.14,0.39,2.16,1.77,0,6.88,0,0,0,0,0,0,1.96,
1-opt,585,4.84,133,0,0.17,1.54,0.17,0.17,0,0.68,0.51,0,0.17,0.85,0,0.85,1.03,0.34,2.56,2.39,0,0,8.55,1.71,12.31,8.03,0.17,1.54,0,0,1.20,10.43,0,0.34,0,0.85,0.34,0,1.37,0.51,0,0.17,1.20,0,0,0,0,0,0,2.05,0,0.17,0,1.20,0.17,5.64,0.34,1.37,1.37,0.34,5.64,0,0,0,0,0,0.34,1.37,
4-opt,550,4.88,69,0,0,0,0,0,0,0.18,0,0,0.18,0,0,0,0,0,0,0,0,0,11.09,0,15.82,12.91,0,0.73,0,0,1.64,12.73,0,0.55,0,7.09,0,0,0.18,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,0,5.45,0,0,0,0,0,0,0,
3-opt,572,4.40,171,0,0,1.75,0,1.22,0,0.52,0,0.87,0.87,0.35,0,0.35,1.40,0,6.47,0.52,0,0,2.97,2.27,14.86,2.27,0,0.70,0,0.52,0.87,6.82,0,1.57,0,2.45,1.40,0,4.72,0,0,1.40,1.57,0,0,0.52,0,2.62,0,0.87,0.17,0,0.35,1.75,0.35,5.24,0.35,2.27,0,0.17,7.69,0,0.35,0,1.22,0,0,2.45,
6-opt,468,4.49,99,0,0,4.27,0.64,0,0,0.64,0,0,0,0,0,0.64,1.50,0,3.85,0,0,0,9.19,1.50,21.37,1.50,0,0.43,0,0.64,0.21,9.62,0.21,3.42,0,0,1.71,0,0.43,0,0,0.43,1.28,0,0,0,0,0,0,0,0,0.43,0,0,0,4.49,0.64,0.43,0,0.64,7.48,0,0,0,0,0,0,2.56,
5-opt,534,5.33,144,0,0.37,1.31,0,0,0,0.19,2.81,0,0.19,0,0,0,2.06,0,4.31,0.19,0,0,10.30,0,19.10,4.31,0,0,0,0,0.19,13.30,0,2.81,0,0,1.12,0.75,3.56,3.00,0,0,1.50,0,0,0,0,0,0,1.12,0,0,1.87,0,0.37,4.12,0,1.31,0.19,0,6.93,0.56,0,0,0.19,0,0,0.19,
0-opt,550,4.72,151,0,1.09,2.55,0,0.18,0,1.27,0.91,0,0.55,2.18,0,0.36,0.18,0.18,1.45,0.55,0,0,7.82,1.27,15.64,3.82,0.18,1.27,0,0,0.18,5.82,0,2.18,0.18,1.82,2.18,0.18,1.45,2.00,0.91,0.91,2.36,0,0,0.73,0,0,0,1.09,0,0.55,0.73,1.64,0,3.82,0,1.82,0.55,0.36,7.45,0,0,0,0.73,0,0,2.00,
9-opt,547,4.92,58,0,0,3.47,0,0,0,0,0,0,0.55,0,0,0,0.18,0,3.47,0,0,0,7.50,4.20,14.26,11.88,0,0.55,0,0,0,13.71,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,3.47,0,0,0.55,0,0,3.66,0,0,0,0,3.47,0,0,0,0,0.55,0,6.40,
OPT-1.3b-iml,536.20,4.86,114.60,0.02,0.24,2.34,0.12,0.18,0.00,0.68,0.50,0.11,0.75,0.47,0.00,0.24,0.97,0.07,3.72,0.40,0.00,0.00,8.09,1.59,15.41,7.09,0.03,0.76,0.00,0.12,0.73,10.37,0.10,1.91,0.02,1.45,1.28,0.09,1.83,1.11,0.13,0.33,2.03,0.00,0.00,0.20,0.02,0.26,0.00,1.00,0.02,0.14,0.55,0.80,0.13,3.62,0.19,2.02,0.49,0.15,6.64,0.06,0.03,0.00,0.21,0.06,0.09,1.71,
