Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
2-gemma2b,485,6.32,273,0.21,1.86,0.82,0,0,0,0.21,0.62,0.41,1.03,0.41,0,0,0.62,0.21,0.41,0.41,0,0,14.02,0.41,22.06,9.28,0.21,0,0,0.21,0.82,8.87,0,0.21,0.41,0.82,0.41,0.41,0.62,0.21,0,0.41,4.95,0,0,0.21,0.21,0,0,0.62,0,0.21,0,0.21,0,1.03,0,1.24,0.21,0.41,4.74,0,0,0,0,0.41,0.21,0.21,
5-gemma2b,446,5.91,245,0.22,0.67,1.35,0,0,0,0,0.90,0.22,0.90,0.22,0,0,0.22,0.45,0.22,0.45,0,0.22,12.78,0.90,17.49,7.40,0.45,0.45,0.22,0,2.47,9.42,0,0.22,0,0.90,1.57,0.90,1.57,2.02,0,0.45,5.16,0,0,0.67,0,0,0,1.79,0,0,0.22,0,0,2.02,0.22,0.45,0.45,0.22,4.48,0,0,0,0.22,0.45,0.22,0.67,
4-gemma2b,491,5.70,270,0.20,0.41,0.41,0,0,0,0.20,1.02,0.41,0.61,0.20,0,0.20,0.20,0,0.20,1.22,0,0,10.39,0,23.01,5.09,0.41,1.43,0,0,2.44,12.83,0,0.61,0.41,1.63,0.20,0,1.83,1.02,0,0,4.48,0.20,0,0.81,0,0,0,0.20,0.20,0,0,0,0,0.81,0,0.81,0.20,0.81,3.05,0,0,0,0,0.61,0,0.81,
3-gemma2b,438,5.64,247,0.23,0.23,1.83,0,0,0,0.23,0.68,2.05,0.68,0.46,0,0,0.68,0.68,3.42,1.83,0,0,10.50,0,15.53,6.62,0.46,0.23,0,0.23,0.68,9.13,0,1.37,0.23,2.28,0.91,0.68,2.74,0.23,0,0.46,5.02,0,0,0.68,0.23,1.37,0,0.68,0,0,0.46,0,0,0.91,0,0.46,0.46,0.23,7.99,0,0.46,0,0.46,0,0,0.23,
6-gemma2b,473,5.74,276,0,0.63,2.11,0.21,0,0.21,0,1.06,0.21,0.42,0.21,0,0,0.63,0,0.42,0.42,0,0,11.42,0.42,22.83,5.50,0.63,0.42,0,0.21,1.69,10.36,0,0.85,0.21,1.27,2.33,1.48,1.27,0.42,0,2.75,3.81,0,0,0.42,0,0,0,0.42,0,0,0.63,0,0,1.27,0,0.21,0.42,0.63,4.65,0,0,0,0,0.42,0.21,0.63,
9-gemma2b,487,6.37,265,0,1.03,0.82,0,0,0,0,1.03,0,0.62,0.21,0,0,0.82,0,1.23,0.62,0,0,14.99,0.62,19.10,10.06,0.41,0.82,0,0,1.85,9.45,0,0.62,0.41,1.85,1.03,0.82,1.85,0.21,0,0,3.08,0,0,0,0,0,0,1.23,0,0,0.21,0.21,0,0.41,0.21,0.21,0.41,0,3.70,0,0,0,0,0,0.41,0,
1-gemma2b,439,6.18,239,0.23,1.14,2.51,0,0,0,0,0,0.23,0.46,0,0,0,0.68,0,0.68,0.46,0,0,12.07,0,16.63,9.57,0.68,0.68,0,0,1.82,10.93,0,0.23,0.23,2.28,2.51,0.46,1.37,0.46,0,0.23,4.33,0,0,0.46,0,0,0,0.46,0,0,0,0.46,0.46,1.59,0,0.46,0.46,0.23,5.47,0,0,0,0.23,0,0.23,0,
0-gemma2b,473,5.67,248,0.42,1.27,2.11,0,0,0,0,0.42,0.85,0.63,0,0.21,0,0.63,0,0.85,2.96,0,0,9.73,0,19.24,5.29,0.63,0.21,0,0,2.54,7.19,0,0.42,0.21,1.69,1.06,0.42,1.69,0.42,0.42,0.63,4.23,0.21,0,0.21,0,0.21,0,0.21,0,0,0,0.21,0,1.90,0.21,2.33,0.21,0.21,6.13,0.21,0,0,0.21,0,0,0.63,
7-gemma2b,455,5.88,257,0,0.22,1.98,0,0,0,0.22,0.22,0,0.66,0.88,0,0.22,0,0.44,0.66,0.66,0,0,12.31,0.22,18.90,9.01,0.88,0.66,0.22,0,1.76,10.55,0,0.44,0.44,2.20,1.76,0.22,1.10,0,0,0.44,4.18,0,0,0.44,0,0,0,0.22,0,0,0,0,0,1.76,0,0,0.44,0,4.62,0,0,0,0,0,0.44,0.44,
8-gemma2b,495,5.77,250,0.20,1.41,1.41,0,0.20,0,0,0.40,1.01,0.61,0.40,0,0,0.20,0.20,0.20,1.01,0,0,13.33,0.81,18.18,10.71,0.40,0.40,0,0,2.42,8.28,0,1.62,0,2.22,1.41,0.20,1.01,0.20,0.20,0.40,2.83,0,0,0.40,0,0,0,0.40,0,0.20,0,0.20,0,1.62,0,0.81,0,0,3.03,0,0,0,0,0.20,0.20,1.01,
gemma2b,468.20,5.92,257.00,0.17,0.89,1.53,0.02,0.02,0.02,0.09,0.64,0.54,0.66,0.30,0.02,0.04,0.47,0.20,0.83,1.00,0.00,0.02,12.15,0.34,19.30,7.85,0.52,0.53,0.04,0.07,1.85,9.70,0.00,0.66,0.26,1.71,1.32,0.56,1.50,0.52,0.06,0.58,4.21,0.04,0.00,0.43,0.04,0.16,0.00,0.62,0.02,0.04,0.15,0.13,0.05,1.33,0.06,0.70,0.33,0.27,4.79,0.02,0.05,0.00,0.11,0.21,0.19,0.46,
