Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
0-llama2,375,5.89,161,0,0,2.67,0,0,0,0.53,1.33,0,1.33,0.27,0,0.53,1.07,0,1.33,2.13,0,0,9.60,0,16.00,8.00,0.80,0,0,0.27,2.93,6.67,0,0.53,0,3.47,2.40,0.80,1.07,0,0,4.00,1.87,0.53,0,0.27,0,0,0,0.53,0,0.27,0.27,0,0,1.87,0,2.93,1.60,0,6.67,0.27,0,0,0,0,0,0,
8-llama2,414,6.09,196,0.24,1.21,1.93,0,0,0,0,1.93,0,0.72,0,0,0.24,0.48,0,0.48,0,0,0,16.67,0.24,16.18,10.87,0.72,0.72,0,0.24,2.66,9.18,0,1.21,0.97,0.72,1.93,0.48,1.21,0,0,1.45,2.42,0.72,0,0.24,0,0,0,0.48,0,0,0,0.48,0,2.42,0,0.97,1.21,0,5.56,0,0,0,0,0,0.24,0.48,
7-llama2,428,5.46,215,0,0.70,1.87,0,0,0,0,0.70,0,0,0,0,0,0.47,0.70,1.64,0,0,0,5.61,0,23.60,7.01,0.47,0.23,0,0.23,1.87,10.98,0.47,1.64,0.47,1.64,1.87,0.23,1.64,0,0.23,0.23,3.27,0.23,0,0.47,0,0,0,0.93,0,0.47,0,1.40,0.47,2.10,0,1.17,0.70,2.57,5.84,0.47,0,0,0,0,0,0.23,
6-llama2,427,5.37,178,0.23,0.23,4.22,0.23,0,0,0,1.64,0,0.23,0.23,0,0,2.11,0,0.23,2.81,0,0,12.41,0,17.10,3.28,0.70,0.94,0,0,3.28,9.84,0,0.70,0,2.81,3.28,1.17,0.47,0.47,0,1.87,3.28,0.47,0,0.23,0,0,0,0.23,0.47,0,0.70,0,0,1.64,0.23,1.64,0.23,0,4.45,0,0,0,0,0,0.23,0.23,
9-llama2,459,5.70,213,0.44,0.44,3.27,0,0,0,0.22,0.87,0,1.31,0.22,0,0.22,1.31,0.22,1.53,0.65,0,0,12.64,0,14.60,7.41,0.44,0.65,0,0,2.83,6.75,0,0.44,0.22,3.49,3.05,0.44,0.44,0,0,0.65,4.36,0.22,0,0.44,0.44,0,0,1.31,0,0,0.22,0.65,0,3.27,0,0.22,1.53,0,4.79,0,0,0,0,0.22,0,1.31,
1-llama2,377,5.52,177,0,1.06,2.92,0,0,0,0.27,1.06,0,1.06,0,0,0.53,0,0.53,1.59,0.27,0.27,0,8.22,0,14.85,9.28,0.80,1.06,0,0,2.12,9.81,0,1.06,0,2.39,2.65,0,1.59,0.27,0,0.53,2.92,0.53,0,1.33,0,0.80,0,1.33,0,0,0,1.33,0,4.77,0,1.59,0,0,5.84,0,0,0,0.53,0,0,0,
3-llama2,414,5.45,171,0,0.48,1.69,0,0,0,0,1.45,0,1.21,0.72,0,0.24,1.69,0.72,0.72,3.38,0,0,8.94,0.24,16.91,6.04,1.21,0.48,0,0,3.14,9.90,0,1.21,0,2.42,1.45,0.72,2.66,0,0,0.24,2.42,0.24,0,0.24,0,0,0,0.48,0,0.24,0,0.24,0,2.17,0.24,1.45,0.72,0,5.80,0,0.24,0,0.24,0,0.24,0,
4-llama2,416,5.57,187,0.24,0.72,1.44,0,0,0,0.72,2.16,0,0.72,0,0,0.24,0.48,0.72,0.72,0.48,0,0,10.34,0.24,21.39,3.12,0.24,1.68,0,0.24,4.09,9.86,0.24,0.96,0,3.85,1.44,0.24,1.92,0,0,0.24,4.09,0,0,1.68,0,0,0,0.48,0,0,0,0.72,0,2.40,0,1.20,0.96,0,4.09,0,0,0,0,0,0,0.96,
5-llama2,465,5.09,162,0,0.65,1.29,0,0,0,0,1.08,0,0.22,0.86,0,0.22,0,0,0.86,0.22,0,0,9.68,0,21.08,6.24,0.65,0.65,0,0,3.66,10.97,0,0.43,0.22,3.87,1.29,0.22,2.15,0,0,0.22,1.29,0.43,0,0,0,0,0,1.94,0,0,0.22,0.65,0,1.94,0,0.86,1.51,0,4.73,0.43,0,0,0.65,0,0,0.22,
2-llama2,479,5.34,186,0,1.04,3.76,0,0,0,0,0.84,0,1.67,0.63,0,0.21,0.63,0.63,1.88,0,0,0,8.14,0.42,14.82,8.35,0.42,0.84,0,0,2.92,7.31,0.42,2.09,0,2.30,2.51,0,1.67,0.21,0,0,2.92,0,0,0.63,0,0,0,0,0,0.21,0,1.46,0,3.97,0.21,1.46,1.67,0,7.52,0,0,0,0.42,0,0,0.42,
llama2,425.40,5.55,184.60,0.11,0.65,2.51,0.02,0.00,0.00,0.17,1.31,0.00,0.85,0.29,0.00,0.24,0.82,0.35,1.10,0.99,0.03,0.00,10.23,0.11,17.65,6.96,0.65,0.72,0.00,0.10,2.95,9.13,0.11,1.03,0.19,2.70,2.19,0.43,1.48,0.10,0.02,0.94,2.88,0.34,0.00,0.55,0.04,0.08,0.00,0.77,0.05,0.12,0.14,0.69,0.05,2.66,0.07,1.35,1.01,0.26,5.53,0.12,0.02,0.00,0.18,0.02,0.07,0.39,
