Filename,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type
5-mistral,-7.77,-5.24,14.08,10.62,13.93,-0.55,Scientific exposition
2-mistral,-10.96,2.51,22.06,4.47,7.09,2.62,Scientific exposition
3-mistral,-2.62,0.15,11.61,0.12,7.68,-2.97,Scientific exposition
4-mistral,-11.42,4.15,14.8,3.57,12.85,-0.98,Scientific exposition
1-mistral,-2.52,-5.63,9.27,5.48,10.21,0.24,Involved persuasion
6-mistral,-2.21,12.28,11.25,-1.43,10.42,-0.58,General narrative exposition
9-mistral,-11.23,-6.33,11.57,5.07,7.26,1.53,Scientific exposition
7-mistral,-10.14,-4.41,11.14,-0.46,4.48,-0.0499999999999999,Scientific exposition
8-mistral,-11.1,-1.59,14.86,6.65,6.45,-0.26,Scientific exposition
0-mistral,-6.41,-0.27,11.88,2.39,9.92,-2.95,Scientific exposition
mistral,-7.64,-0.44,13.25,3.65,9.03,-0.39,Scientific exposition
