Filename,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type
9-t5-l,2.23,-1.68,3.04,5.77,4.86,-2.47,Involved persuasion
8-t5-l,-1.51,-6.69,3.43,16.51,22.96,4.64,Scientific exposition
2-t5-l,23.07,-3.72,1.98,11.59,1.62,2.1,Informational interaction
5-t5-l,4.82,-5.58,6.02,25.64,12.27,1.1,Involved persuasion
4-t5-l,-2.61,-5.7,0.35,8,-3.92,-3.5,Involved persuasion
3-t5-l,25.01,-5.64,3.02,16.52,-2.37,7.8,Informational interaction
1-t5-l,6.14,-0.73,5.54,43.49,-0.98,9.33,Involved persuasion
6-t5-l,24.45,-1.86,2.38,10.01,0.29,4.16,Informational interaction
7-t5-l,40.22,-6.74,1.22,4.84,1.04,3.45,Intimate interpersonal interaction
0-t5-l,27.73,3.13,0.81,28.57,7.31,-2.15,Informational interaction
t5-l,14.96,-3.52,2.78,17.09,4.31,2.45,Involved persuasion
