Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
9-t5-l,231,4.61,103,0,0.87,4.33,0,0,0,0.87,1.30,0,0.43,0.43,0,0.43,1.73,0,0,0,0,0,9.52,0,18.18,5.63,0,0.43,0,0,0,7.79,0,2.16,0.43,2.60,2.60,0.87,0,1.73,0.43,0,2.16,0.43,0,0,0,1.30,0,0,0,0,0,0,0,3.90,0,1.30,0.87,0,3.46,0,0,0,0,0,0.87,0.43,
8-t5-l,452,4.84,118,0,0,1.55,0.88,0.22,0,0.66,3.98,0.66,3.10,0.44,0,0.22,2.43,0.44,0,0,0,0,10.62,0.22,11.28,7.52,0,1.33,0,0,0.22,6.19,0,0.88,0.88,0.22,0.22,0,1.77,5.53,0,0,2.88,0.22,0,0.88,0,0,0,0.22,0,2.21,0,0.22,0,2.43,0.44,1.55,0.22,0,6.64,0,0,0,0,0,0.22,3.10,
2-t5-l,415,4.07,153,0.72,0.24,6.02,0,0.48,0,0.48,0.48,1.20,0.96,0.96,0,0.72,0.96,0.24,1.20,0,0,0,3.61,1.45,11.08,5.06,0.24,0.24,0,0,0,6.75,0,3.13,0,0.96,1.45,0.24,2.89,0.24,0.48,0,5.54,0,0.24,0.24,0,5.30,0.24,0.24,0.24,0,0,0.96,0,5.30,0.24,1.69,0.24,0,10.36,0.24,0,0,0,0,0,1.69,
5-t5-l,432,4.74,173,0.69,0,3.24,0,0,0,0.23,2.31,0,0.93,2.55,0,0.46,0.46,0,3.94,0.93,0,0,7.41,0.46,15.28,3.70,0,1.16,0,0.46,0.23,9.95,0,2.08,0,0.46,1.62,0,2.55,4.17,0.23,0.23,2.31,0,0,2.08,0,0,0,1.85,0,0.23,0.69,0.69,0,4.17,0.46,0.93,0.23,0.23,5.09,0.46,0,0,0.46,0,0.23,1.85,
4-t5-l,241,2.96,72,0.41,0,2.49,0,0,0,0.41,0,0.41,0,0.41,0,0,1.24,0,6.22,0,0,0,0,0.41,52.28,1.24,0,0,0,0,0,5.39,0,1.24,0,0.83,1.24,0,0.83,1.66,0,0.83,1.66,0,0,0.41,0,0,0,0.83,0,0,0.41,0,0.41,2.90,0,0,0,0.41,3.73,0,0,0,0,0,0,1.66,
3-t5-l,420,4.13,147,0,0,4.52,0,0.24,0,0.95,0,3.57,0.95,1.19,0,0.48,0.48,0,9.52,0,0,0,5.24,1.19,10.24,2.14,0,0,0,0,0.24,8.81,0,2.62,0,1.19,3.10,0,6.90,1.90,0.24,0.71,3.81,0,0,0.48,0,0,0.71,0,0,0,1.90,2.62,0,5.24,0.24,0.95,0,0,10.48,0,0,0,0.24,0.48,0,1.90,
1-t5-l,424,4.34,66,0,0.24,2.59,0,0,0,3.07,0.47,0.24,0.94,0,0,1.18,3.07,0,4.25,0,0,0,1.42,0,10.14,6.84,0,0,0,0,0,8.25,0,1.42,0,0,1.18,0,0,7.08,0,3.30,0.24,0,0,0,0,6.13,0,3.54,0,0,0.24,3.07,0.24,5.90,0.24,1.18,0,0,5.90,0,0,0,0,0,0,0.94,
6-t5-l,257,4.21,119,0.78,1.95,5.45,0,0.39,0,0,0.39,1.17,0.39,0.78,0,0,3.50,0.39,4.28,0.78,0,0,7.78,1.17,15.56,0.78,0,1.17,0,0.78,0.78,5.45,0,3.89,0,0.39,3.50,0,3.11,1.17,0,0.78,2.72,0,0,1.17,0,2.72,0,0,0.39,0,0.39,1.95,0.39,3.50,0.39,0,0,0.39,8.95,0.39,0,0,0,0,0.39,1.17,
7-t5-l,436,3.92,139,0,0.92,8.03,0,0.23,0,0.23,0.46,0,0.92,4.82,0,2.06,0.92,0.23,3.67,0,0,0,5.05,0.46,11.93,2.06,0.23,0,0,0,0,5.05,0,8.26,0,0.69,2.75,0,2.52,1.15,1.61,0.23,3.21,0,0,0.23,0,1.15,0,0.46,0,0.23,0.23,1.38,0,3.21,0.23,0.46,0,0,14.22,0,0,0,0,0,0,3.21,
0-t5-l,428,3.89,83,1.87,0.93,6.54,0,0,0,1.40,1.40,0,0.23,3.04,0,0,1.17,0,2.34,0,0,0,8.88,0.93,7.94,3.04,0,1.64,0,1.40,0,3.74,0,1.40,0,1.40,1.87,0,0.93,1.87,1.87,3.74,5.14,0,0,3.04,0,2.57,0,0,0,0,0.70,0.23,0,5.84,0,1.64,0,0.47,9.58,1.40,0,0,0,0,0.23,0,
t5-l,373.60,4.17,117.30,0.45,0.51,4.48,0.09,0.16,0.00,0.83,1.08,0.72,0.89,1.46,0.00,0.56,1.60,0.13,3.54,0.17,0.00,0.00,5.95,0.63,16.39,3.80,0.05,0.60,0.00,0.26,0.15,6.74,0.00,2.71,0.13,0.87,1.95,0.11,2.15,2.65,0.49,0.98,2.97,0.07,0.02,0.85,0.00,1.92,0.10,0.71,0.06,0.27,0.46,1.11,0.10,4.24,0.22,0.97,0.16,0.15,7.84,0.25,0.00,0.00,0.07,0.05,0.19,1.59,
