Filename,AMP,ANDC,AWL,CAUS,CONC,COND,CONJ,DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,PHC,PIN,PIT,PLACE,POMD,PRED,PRMD,RB,SPP2,SYNE,THAC,THVC,TIME,TO,TOBJ,TPP3,TSUB,TTR,VBD,VPRT,XX0,[BEMA],[BYPA],[CONT],[PASS],[PASTP],[PEAS],[PIRE],[PRESP],[PRIV],[PROD],[PUBV],[SERE],[SMP],[SPAU],[SPIN],[STPR],[SUAV],[THATD],[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],Underused_variables,Overused_variables,
9-t5-l,-1.04,0.88,0.28,-0.65,-0.62,2.82,7.38,-1.33,-0.06,-0.52,1.44,2.62,-1.22,-1.04,-1.84,-0.46,-0.70,1.84,-1.00,0.04,2.53,-0.91,-1.26,-1.28,1.59,0.35,5.77,8.19,2.79,-2.50,0.22,-1.06,-0.50,-1.14,-1.49,4.30,-0.73,-0.75,10.38,0,-1.32,-1.26,-0.69,1.58,-0.62,-0.73,-0.80,-0.25,-1.65,-0.64,4.53,-1.73,0.37,-1.43,10.50,-0.80,-2.20,0.00,-0.74,-0.94,-0.76,-0.60,-0.82,-0.33,-1.05,-0.81,3.94,RB [SPAU] ,COND CONJ EMPH NOMZ POMD PRED PRMD TO TSUB [PRESP] [SERE] [WZPRES] 
8-t5-l,-1.04,-0.94,0.85,0.65,-0.62,1.86,24.12,5.02,-0.04,-0.52,0.12,4.29,1.22,-1.04,-1.84,-0.46,-0.70,2.42,0.05,-1.90,3.84,-0.91,-0.44,-1.91,-0.21,1.68,-1.03,-0.96,11.83,-2.09,-0.72,-1.06,36.33,-0.38,-1.49,1.68,3.27,-0.64,2.25,0,-1.32,-0.33,3.69,-1.35,6.15,-0.37,0.56,-0.25,-1.65,-0.64,-0.59,-0.03,-0.86,-1.43,5.25,-0.80,1.32,0.00,-0.74,-0.23,-0.76,-0.60,-0.82,-0.33,-1.05,-0.81,0.33,RB ,CONJ DEMO EMPH JJ NOMZ PRMD THAC TOBJ TSUB XX0 [BYPA] [SERE] 
2-t5-l,1.73,-0.44,-1.07,2.18,-0.62,1.05,2.25,-0.07,1.04,-0.52,3.25,0.79,0.11,-0.58,-1.84,-0.46,-0.70,-1.31,5.90,-1.96,2.13,1.27,-1.26,-1.69,2.96,-0.91,1.09,3.77,-0.76,-0.58,3.12,0.44,-0.50,2.17,-1.49,6.80,1.45,-0.58,2.50,0,-1.32,0.76,1.38,3.36,-0.62,-0.08,-1.09,-0.25,-1.65,-0.64,0.82,1.05,0.51,-1.43,-0.25,1.60,-1.24,0.00,0.15,-0.16,-0.76,1.80,-0.82,-0.33,-1.05,-0.81,-0.89,,CAUS CONJ DWNT NEMD NOMZ PIT PRED SPP2 THVC TO TSUB [BEMA] 
5-t5-l,1.62,-0.94,0.60,-0.65,-0.62,-0.09,13.69,-0.14,4.35,-0.52,1.62,-0.40,-1.22,0.47,0.61,-0.46,-0.70,0.71,1.19,-0.78,1.19,-0.91,-0.41,-0.43,1.48,-0.91,-0.34,4.42,8.60,-2.41,-0.72,-1.06,3.33,1.24,-1.49,4.79,3.45,-0.92,2.38,0,-1.24,-0.78,1.64,0.43,-0.62,-0.73,0.30,-0.25,-0.77,-0.64,-0.59,0.72,-0.20,-1.00,-0.25,-0.80,6.12,0.00,-0.74,5.03,0.93,4.00,-0.82,-0.33,1.25,-0.81,0.39,RB ,CONJ DEMP PRED PRMD THAC TO TOBJ TSUB [SPAU] [SUAV] [WHCL] 
4-t5-l,0.54,-0.94,-3.85,-0.65,-0.62,0.73,-0.75,-2.36,-0.10,-0.52,-1.25,1.45,-1.22,1.34,-1.84,-0.46,-0.70,-3.23,0.95,9.62,-0.52,-0.91,-1.26,-2.23,0.30,-0.91,0.71,2.96,2.62,-2.78,-0.72,-1.06,-0.50,-1.14,-0.31,2.52,-0.73,-1.33,-0.50,0,-1.18,-1.18,1.33,-0.36,-0.62,-0.51,-1.45,-0.25,-1.65,-0.64,-0.59,-0.93,-0.86,0.11,-0.25,-0.80,-0.56,0.00,-0.74,1.74,0.24,-0.60,-0.82,-0.33,-1.05,-0.81,-0.89,AWL DEMO JJ PIN RB ,NN PRED PRMD TO 
3-t5-l,-1.04,-0.94,-0.93,0.76,-0.62,3.18,-0.75,-0.10,1.52,-0.52,1.75,-0.36,-1.22,2.61,-1.84,-0.46,-0.70,-0.44,4.67,-2.19,0.10,-0.91,-0.37,-0.88,2.24,-0.91,1.74,10.12,3.19,-1.56,-0.72,-1.06,-0.50,7.90,-1.49,6.70,1.45,-0.91,-0.50,0,-1.32,0.79,1.72,1.78,-0.62,1.19,-1.45,-0.25,-1.65,-0.64,-0.59,4.90,-0.17,-0.11,-0.25,-0.80,-0.28,0.00,1.89,-0.94,3.88,-0.60,-0.82,-0.33,0.15,0.74,-0.89,NN ,COND FPP1 NEMD PIT PRED PRMD THVC TO [PRIV] [THATD] 
1-t5-l,-1.04,-0.44,-0.40,-0.65,-0.62,12.82,2.19,-0.12,-0.96,-0.52,6.12,5.81,-1.22,0.59,-1.84,-0.46,-0.70,-2.47,-1.00,-2.22,3.37,-0.91,-1.26,-1.10,0.55,-0.91,-1.66,2.73,15.52,-3.59,3.72,-1.06,-0.50,9.45,-0.80,7.87,1.45,-0.80,-0.50,0,-1.32,-0.55,0.15,-0.25,-0.62,-0.60,-1.45,-0.25,-1.65,-0.64,-0.59,-1.73,-0.86,4.69,-0.25,-0.80,-2.20,0.00,-0.74,10.48,-0.17,-0.60,-0.82,-0.33,-1.05,-0.81,-0.89,JJ NN RB [SPAU] ,COND CONJ DWNT EMPH NOMZ PRED PRMD SPP2 THVC TO [PUBV] [SUAV] 
6-t5-l,1.96,3.12,-0.73,1.65,-0.62,-1.14,1.69,-1.43,0.67,-0.52,-1.25,6.83,0.94,0.60,0.21,-0.46,-0.70,0.91,4.57,-0.70,-0.84,-0.91,1.63,-2.20,4.03,-0.91,-0.54,11.65,1.45,-2.18,1.25,1.38,-0.50,5.59,-0.37,3.59,2.82,-1.33,-0.50,0,-1.19,0.34,0.52,2.76,-0.62,-0.10,0.32,-0.25,-0.15,-0.64,-0.59,1.26,-0.86,0.02,-0.25,-0.80,2.48,0.00,-0.74,-0.94,0.20,3.30,-0.82,-0.33,-1.05,-0.81,1.28,PIN RB ,ANDC EMPH NEMD PIT PRED THVC TO TOBJ [BEMA] [SPAU] [WHCL] 
7-t5-l,-1.04,0.98,-1.45,0.71,-0.62,-0.09,2.12,-0.17,9.08,-0.52,11.62,0.69,0.06,0.36,-1.84,-0.46,-0.70,-0.54,1.19,-1.72,0.05,1.18,-1.26,-2.36,10.18,-0.91,0.31,8.77,1.40,-1.90,0.12,-1.06,3.33,3.62,-1.49,3.07,1.36,-1.12,-0.50,0,-1.32,1.88,3.87,5.47,-0.62,-0.73,-1.45,-0.25,-1.65,-0.64,-0.59,0.69,3.74,-1.00,-0.25,-0.80,-1.28,0.00,-0.74,0.55,-0.20,-0.60,-0.82,-0.33,-1.05,-0.81,-0.89,PIN ,CONJ DEMP DWNT PIT PRED THAC THVC TO XX0 [BEMA] [PROD] 
0-t5-l,6.15,1.00,-1.52,-0.65,-0.62,5.23,8.00,-1.81,5.38,-0.52,-1.25,1.29,-1.22,-0.15,-1.84,-0.46,-0.70,1.49,3.43,-2.84,0.73,-0.91,-1.26,-2.88,0.52,-0.91,2.34,5.38,3.12,-0.81,1.14,-1.06,-0.50,-0.34,-1.49,7.77,-0.73,-0.60,-0.50,0,-1.16,0.53,-1.39,3.91,-0.62,-0.73,1.03,-0.25,1.04,-0.64,-0.59,-0.84,4.49,5.50,-0.25,-0.80,9.96,0.00,-0.74,-0.94,0.95,13.40,-0.82,-0.33,-1.05,-0.81,0.39,NN PIN ,AMP COND CONJ DEMP NEMD POMD PRED PRMD TO [BEMA] [PROD] [PUBV] [SPAU] [WHCL] 
