Filename,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type
9-t5-xl,-4.36,-2.41,4.75,23.07,17.24,7.45,Involved persuasion
3-t5-xl,31.41,-3.5,12.66,17.55,1.36,5.05,Informational interaction
7-t5-xl,8.9,1.09,1.97,13.88,16.07,5.21,Involved persuasion
0-t5-xl,7.9,8,-1.93,18.07,8.45,19.33,Involved persuasion
4-t5-xl,15.51,5.6,7.69,13.58,46.2,32.17,Involved persuasion
5-t5-xl,8.92,-2.86,4.61,23.66,0.25,6.12,Involved persuasion
1-t5-xl,1.35,-3.39,6.15,8.44,4.94,3.5,Involved persuasion
6-t5-xl,2.04,-1.52,4.83,-2.44,15.34,4.36,Involved persuasion
2-t5-xl,3.63,-5.79,6.55,34.48,4.2,-2.93,Involved persuasion
8-t5-xl,-7.87,-3.24,9.92,12.17,19.47,2.3,Scientific exposition
t5-xl,6.74,-0.80,5.72,16.25,13.35,8.26,Involved persuasion
