Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
9-t5-xl,399,4.98,155,0,0.50,2.26,0,0,0,0.50,1.75,0,3.51,0.25,0,0,1.25,0.50,4.26,0.50,0,0,7.52,0,11.53,8.02,1.00,0.75,0,0,0,6.52,0,1.75,0.25,0,1.50,0.50,1.50,6.77,0.25,0.75,3.01,0,0,1.00,0,0,0,1.00,0,0,0.25,0.75,0,3.76,0,1.25,0,0.25,2.76,0,0,0,0,0,0.25,1.25,
3-t5-xl,444,4.60,142,0,0.90,4.50,0,1.80,0,0.45,0.68,0.23,0,1.35,0,0,1.13,0.23,5.86,1.13,0,0,5.41,1.58,12.39,3.38,0,0.68,0,0,1.13,8.33,0,2.48,0,2.48,2.25,0,6.08,0.90,0.23,1.58,2.70,0.90,0,0.68,0,0,0.90,1.35,0,0,0.45,2.48,0,4.50,0.45,1.80,0,0.45,11.04,0,0.45,0,0.68,0,0,0.90,
7-t5-xl,374,4.15,136,0,0.27,3.48,1.34,0,0,0.53,2.94,0,1.34,0.53,0,0.53,1.34,0.80,4.81,0.27,0,0,4.55,0.80,14.44,3.48,0,1.07,0,0,0.27,6.15,0,1.87,0,0.53,3.21,0,2.41,1.34,0,2.67,4.01,0,0,0.80,0,0.80,0,1.34,0.53,0,0,1.60,0.27,3.48,0,0.27,0,0.27,8.56,0.27,0,0,0,0,0,4.28,
0-t5-xl,453,4.44,68,0,1.77,0.44,0,0,0,0.88,0,0,0,0.22,0,0.22,0.44,0,6.18,0,0,0,6.18,0.22,9.49,0.22,0,8.17,0,0,0.22,3.31,0,1.10,0,0,0.22,0,4.86,8.17,1.99,6.18,7.95,0,0,0.22,0,0,0,0,0,0,0.22,6.62,0,1.10,0,8.83,0,0,13.02,0,0,0,0,0,0,0.44,
4-t5-xl,417,4.25,49,0,0,0.96,0,0,0,0,7.67,0,14.63,0.48,0,0,0.24,0,14.87,6.95,0,0,0.24,0,2.88,7.67,0.24,0,0,0,0.24,8.39,0,0.48,0,0.72,0.48,0,0.48,0,0,6.95,0.24,0,0,0,0,0,0,6.95,0,0,0.24,0.24,0,0.24,0.24,0.24,0.24,0,15.35,0,0,0,0,0,0,7.67,
5-t5-xl,444,4.40,135,0,0.45,3.83,0,0.45,0,0.45,0.45,1.35,0.45,0.90,0,0,0.90,0.45,4.95,0,0,0,8.11,2.25,19.82,1.35,0,0.90,0,0,0.45,8.11,0,1.58,0,0.23,2.48,0,3.15,1.58,0.45,1.35,1.35,0.23,0,0.23,0,0,0,2.93,0.23,0.23,2.03,2.48,0,3.38,0,1.13,0,0.23,8.11,0,0,0,0.23,0,0,1.80,
1-t5-xl,428,4.33,123,0,0.70,2.57,0,0,0,0,0.23,0.93,0.23,0.93,0,0.47,0.47,0,5.37,0.23,0,0,3.74,0.70,15.19,5.37,0.70,0.70,0,0.23,0.23,13.08,0,0.47,0,0.23,0.70,0.23,3.50,0.70,0.23,0.23,2.10,0,0,0.47,0,0,0,0,0,0.23,0.23,1.87,0,6.07,0.70,3.97,0.23,0,7.01,0.47,0,0,0.23,0,0,2.80,
6-t5-xl,395,4.98,174,0,0.51,3.80,0,0.25,0,0,2.53,0.51,0,0.51,0,0,2.53,0.51,3.54,2.03,0,0,8.10,0.25,21.52,3.54,0.25,0.25,0,0,0.76,9.37,0,0.51,0.25,0.76,2.78,0,2.78,0.51,0,3.04,3.29,0,0,0,0,0.51,0,0.25,0,0,1.27,2.28,0.25,2.03,0.76,0.51,0,0,8.86,0,0,0,0.25,0.25,0,0.25,
2-t5-xl,419,4.79,114,0,0.24,4.53,0.48,0.24,0,1.67,0.72,0,0.24,1.19,0,0.48,0.95,0,1.43,1.19,0,0,5.49,2.39,14.80,7.88,0,2.39,0,0,0,5.97,0,0.95,0,0.48,3.82,0,0,4.06,0.48,0.24,0.95,0,0,0.24,0,0,0,0.95,0,0,0,0,0,6.21,0.48,2.39,0.48,0.24,5.01,0,0,0,0,0,0,3.82,
8-t5-xl,444,5.31,177,0,0.23,2.25,0.45,0.45,0,0.45,2.48,0,1.13,1.13,0,0,0.68,0.45,0.68,0.45,0,0,10.14,1.80,15.99,10.36,0.68,1.13,0,0.68,0.68,10.59,0,0,0,1.80,2.03,0,0.90,0.45,0,0,2.48,0,0,1.13,0,0,0,0,0.23,0.23,0,0.90,0,2.93,0.23,3.15,0.23,0,5.86,0,0,0,0,0,0,0.45,
t5-xl,421.70,4.62,127.30,0.00,0.56,2.86,0.23,0.32,0.00,0.49,1.94,0.30,2.15,0.75,0.00,0.17,0.99,0.29,5.19,1.27,0.00,0.00,5.95,1.00,13.81,5.13,0.29,1.60,0.00,0.09,0.40,7.98,0.00,1.12,0.05,0.72,1.95,0.07,2.57,2.45,0.36,2.30,2.81,0.11,0.00,0.48,0.00,0.13,0.09,1.48,0.10,0.07,0.47,1.92,0.05,3.37,0.29,2.35,0.12,0.14,8.56,0.07,0.04,0.00,0.14,0.03,0.03,2.37,
