Filename,AMP,ANDC,AWL,CAUS,CONC,COND,CONJ,DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,PHC,PIN,PIT,PLACE,POMD,PRED,PRMD,RB,SPP2,SYNE,THAC,THVC,TIME,TO,TOBJ,TPP3,TSUB,TTR,VBD,VPRT,XX0,[BEMA],[BYPA],[CONT],[PASS],[PASTP],[PEAS],[PIRE],[PRESP],[PRIV],[PROD],[PUBV],[SERE],[SMP],[SPAU],[SPIN],[STPR],[SUAV],[THATD],[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],Underused_variables,Overused_variables,
9-t5-xl,-1.04,0.10,1.20,-0.65,-0.62,1.14,10.19,6.00,-0.44,-0.52,-1.25,1.48,1.56,0.59,-0.53,-0.46,-0.70,0.77,-1.00,-1.83,4.19,8.18,-1.26,-1.78,1.01,-0.18,-1.66,3.96,14.79,-2.02,-0.72,-1.06,-0.50,1.45,-1.49,4.05,-0.73,-0.77,-0.50,0,-1.24,-1.46,0.66,-0.60,-0.62,-0.73,-0.32,-0.25,-1.65,-0.64,2.35,-0.29,-0.14,-0.04,-0.25,-0.80,1.80,0.00,-0.74,2.29,-0.15,-0.60,-0.82,-0.33,-1.05,-0.81,0.50,RB ,CONJ DEMO NOMZ OSUB PRED PRMD TO [PRESP] [SUAV] 
3-t5-xl,-1.04,0.94,0.25,9.94,-0.62,0.91,3.50,-2.36,1.85,-0.52,-1.25,1.19,0.06,1.20,1.13,-0.46,-0.70,-0.35,6.52,-1.59,0.97,-0.91,2.93,-1.07,2.04,-0.91,5.43,6.85,0.81,-2.19,-0.72,-1.06,-0.50,7.41,-1.49,5.37,3.36,-0.53,-0.50,0,-1.17,0.95,0.08,1.76,-0.62,-0.60,-0.42,-0.25,-1.65,-0.64,-0.59,4.12,-0.20,1.50,22.25,-0.80,0.52,0.00,2.59,3.42,0.34,-0.60,1.82,-0.33,2.35,-0.81,-0.89,DEMO RB ,CAUS CONJ NEMD PHC PIT POMD PRED THVC TO TOBJ [PRIV] [SERE] [STPR] [SUAV] [WHSUB] 
7-t5-xl,-1.04,-0.38,-0.87,-0.65,-0.62,1.27,17.62,0.83,0.15,-0.52,2.06,1.69,3.22,0.80,-1.13,-0.46,-0.70,-0.81,2.81,-1.01,1.03,-0.91,-0.26,-1.93,1.18,-0.91,-0.14,10.54,1.86,-1.45,-0.14,2.25,-0.50,4.38,-0.71,3.55,-0.73,-1.21,-0.50,0,-1.23,0.23,5.62,0.68,9.69,-0.73,0.17,-0.25,-1.65,-0.64,-0.59,0.59,-0.86,3.52,-0.25,-0.80,1.00,0.00,-0.74,3.39,-0.76,2.10,-0.82,-0.33,-1.05,-0.81,-0.89,,CONJ DWNT EX NEMD PRED SYNE THVC TO XX0 [BYPA] [PUBV] [SUAV] [WHCL] 
0-t5-xl,-1.04,2.75,-0.15,-0.65,-0.62,2.86,-0.75,-2.36,-0.50,-0.52,0.12,-0.45,-1.22,1.33,-1.84,-0.46,-0.70,0.06,0.05,-2.40,-1.23,-0.91,-0.44,-3.05,0.10,-0.91,-1.66,-0.96,18.12,0.79,-0.72,-1.06,-0.50,21.69,-1.49,-0.70,-0.73,2.60,-0.50,0,-1.32,1.53,-0.67,-2.52,-0.62,-0.73,10.92,-0.25,-1.65,-0.64,-0.59,2.94,4.83,10.02,-0.25,-0.80,-1.32,0.00,-0.74,-0.94,-0.22,-0.60,-0.82,-0.33,-1.05,-0.81,-0.89,DEMO NN PIN [BEMA] ,ANDC COND PRMD THVC TPP3 [PASS] [PRIV] [PROD] [PUBV] 
4-t5-xl,-1.04,-0.94,-0.62,-0.65,-0.62,-1.14,47.19,32.48,0.04,-0.52,-1.25,-0.93,-1.22,4.66,16.45,-0.46,-0.70,-3.10,-1.00,-4.26,3.94,1.27,-0.37,-1.05,-0.77,-0.91,0.40,0.04,-1.33,-3.59,-0.72,-1.06,-0.50,-0.31,-1.49,-2.23,1.45,-1.22,2.50,0,-1.32,2.21,11.18,-1.97,-0.62,-0.73,-1.45,-0.25,-1.65,-0.64,-0.59,-1.27,-0.86,11.44,-0.25,-0.80,-2.20,0.00,-0.74,21.48,-0.17,-0.60,-0.82,-0.33,-1.05,-0.81,-0.89,JJ NN RB TO [SPAU] ,CONJ DEMO FPP1 GER NOMZ TSUB VPRT XX0 [PUBV] [SUAV] 
5-t5-xl,-1.04,0.00,-0.25,2.00,-0.62,0.91,2.06,-1.29,0.92,-0.52,-1.25,0.64,1.28,0.85,-1.84,-0.46,-0.70,1.09,9.71,0.50,-0.44,-0.91,0.41,-1.16,0.77,-0.91,-1.00,7.73,2.43,-2.96,-0.72,0.38,3.33,7.41,-1.49,3.37,-0.73,-0.83,-0.50,0,-1.24,0.10,1.56,1.05,-0.62,0.00,-0.09,-0.25,-1.65,-0.64,-0.59,1.30,0.43,1.07,5.50,-0.80,-1.28,0.00,-0.74,8.52,4.20,-0.60,-0.82,-0.33,0.10,-0.81,-0.89,RB ,CONJ NEMD PRED PRMD THAC THVC TO [SERE] [SUAV] [THATD] 
1-t5-xl,-1.04,0.52,-0.42,-0.65,-0.62,-1.14,0.69,-1.81,0.98,-0.52,1.69,-0.38,-1.22,1.02,-1.24,-0.46,-0.70,-1.24,2.33,-0.80,2.35,5.45,-0.41,0.80,-0.79,-0.91,-1.00,0.88,0.33,-2.53,-0.72,-1.06,3.33,5.31,-1.49,8.18,5.64,0.44,2.38,0,-1.32,-0.22,3.20,-0.27,-0.62,-0.23,-0.39,-0.25,-1.21,-0.64,0.76,1.63,-0.20,-1.00,-0.25,-0.80,-0.32,0.00,-0.74,-0.94,-0.20,4.10,-0.82,-0.33,0.10,-0.81,-0.89,RB ,NEMD NOMZ OSUB THAC THVC TO TOBJ TSUB XX0 [WHCL] 
6-t5-xl,-1.04,0.12,1.20,0.82,-0.62,-1.14,15.06,-2.36,0.10,-0.52,-1.25,4.52,1.61,0.31,3.50,-0.46,-0.70,1.08,0.19,0.97,1.08,1.36,1.56,-0.66,-0.73,-0.18,0.51,8.88,-0.12,-1.86,-0.35,-1.06,-0.50,6.72,-0.77,0.96,6.18,-1.10,-0.50,0,-1.32,0.32,-0.98,1.02,-0.62,-0.45,-1.08,-0.25,-1.65,-0.64,-0.59,0.94,-0.86,4.20,-0.25,-0.80,-2.20,0.00,-0.74,-0.13,2.34,-0.60,-0.82,-0.33,0.20,0.00,-0.89,DEMO [SPAU] ,CONJ EMPH GER PRED THVC TOBJ [PUBV] [THATD] 
2-t5-xl,-1.04,-0.44,0.73,0.76,-0.62,6.45,3.75,-1.79,1.52,-0.52,1.75,0.76,-1.22,-0.49,1.29,-0.46,-0.70,-0.31,10.38,-0.91,4.09,-0.91,-1.26,-2.00,-0.11,-0.91,-0.29,12.88,8.33,-3.19,-0.72,-1.06,-0.50,-1.14,-1.49,8.43,3.64,-0.27,5.50,0,-1.24,-0.80,4.87,1.79,3.08,-0.73,2.17,-0.25,-1.65,-0.64,-0.59,-1.73,0.51,-0.98,-0.25,-0.80,-1.24,0.00,-0.74,2.13,-0.76,-0.60,-0.82,-0.33,-1.05,-0.81,-0.89,RB ,COND CONJ NEMD NOMZ PRED PRMD TO TOBJ TSUB XX0 [BYPA] [PASS] [SUAV] 
8-t5-xl,-1.04,-0.46,2.02,2.00,-0.62,0.91,14.75,0.33,1.40,-0.52,-1.25,0.12,1.28,-0.78,-0.66,-0.46,-0.70,2.16,7.57,-0.58,5.81,5.27,1.26,-0.18,-1.45,-0.91,3.49,6.00,-0.26,-2.32,-0.72,0.38,3.33,1.97,-1.49,2.57,1.36,0.07,2.38,0,-1.32,-0.56,-0.66,-0.61,2.85,-0.73,0.26,-0.25,-0.35,-0.64,-0.59,-0.87,-0.86,-1.43,-0.25,-0.80,2.32,0.00,-0.74,-0.94,-0.76,-0.60,-0.82,-0.33,-1.05,-0.81,-0.89,RB ,AWL CONJ JJ NEMD NOMZ OSUB POMD PRED THAC TO TSUB [BYPA] [SPAU] 
t5-xl,-1.04,0.22,0.31,1.23,-0.62,1.10,11.41,2.77,0.60,-0.52,-0.19,0.86,0.41,0.95,1.51,-0.46,-0.70,-0.07,3.76,-1.19,2.18,1.70,0.22,-1.21,0.12,-0.76,0.41,5.68,4.50,-2.13,-0.62,-0.44,0.65,5.49,-1.34,3.35,1.87,-0.28,0.98,0.00,-1.27,0.23,2.49,0.03,1.13,-0.57,0.98,-0.25,-1.48,-0.64,-0.16,0.74,0.18,2.83,2.58,-0.80,-0.29,0.00,-0.41,3.83,0.39,0.14,-0.56,-0.33,-0.35,-0.73,-0.75,RB ,CONJ DEMO NEMD NOMZ PRED PRMD THVC TO XX0 [PUBV] [SERE] [SUAV] 
